Customer ID,CLV,Segment,recency,frequency,monetary
12347,3000.8335514299547,Champion,2,7,23.68131868131868
12348,1005.176466657531,At Risk,75,4,57.97548387096774
12352,2363.3135336582795,Loyal,36,8,29.482823529411764
12356,781.2322296449603,Lost,23,3,47.65135593220339
12358,1508.8657786132703,Loyal,2,2,61.47684210526315
12359,4870.097219694607,Champion,58,4,25.695887096774193
12360,2298.22932617151,Loyal,52,3,20.63612403100775
12362,4669.741198685805,Champion,3,10,19.647481203007516
12363,672.2559070451168,Lost,110,2,24.0
12364,1995.7372235908624,Loyal,8,4,15.448235294117646
12370,1756.7788744378106,Loyal,51,4,21.231676646706585
12371,1858.2633387694789,Loyal,45,2,29.96761904761905
12372,1137.7367370250367,At Risk,72,3,24.962307692307693
12375,1204.458990987148,At Risk,11,2,26.91176470588235
12377,740.8469733662181,Lost,315,2,21.144415584415583
12379,1038.567256106918,At Risk,82,2,21.306
12380,3157.4002893013817,Champion,22,4,26.20009615384615
12381,1767.627657553327,Loyal,5,5,21.21045977011494
12383,1287.3026108220083,At Risk,185,5,18.69252525252525
12384,1156.72992774232,At Risk,29,2,21.676666666666662
12386,406.55497027790426,Lost,338,2,40.19
12388,2279.902101493167,Loyal,16,6,27.8066
12393,1236.0709811881009,At Risk,72,4,24.728125
12394,1362.741200166165,At Risk,64,2,47.12888888888889
12395,2340.273178692362,Loyal,19,12,19.350192307692307
12397,2327.3875292699227,Loyal,36,2,19.126190476190477
12399,1219.0377147752638,At Risk,119,4,18.790677966101697
12406,2559.0892407726014,Champion,22,2,32.52666666666667
12407,1853.710167844483,Loyal,50,5,22.183376623376624
12408,2378.584271333973,Loyal,33,5,27.51
12409,6379.074649214791,Champion,79,3,101.58412844036695
12412,1505.9343712537857,Loyal,75,3,20.112786885245903
12413,565.1829615580945,Lost,67,3,19.95
12414,704.619643968617,Lost,217,3,31.244999999999997
12415,95943.5880622551,Champion,24,21,174.95032212885152
12417,2921.5414129921533,Champion,3,9,19.005729166666665
12421,903.5116384158798,At Risk,16,4,17.93422222222222
12422,802.0755995283305,Lost,96,3,20.604102564102565
12423,1609.2803496670924,Loyal,1,8,14.87448
12427,687.8938970115781,Lost,22,3,26.638709677419353
12428,3157.565922932024,Champion,26,9,27.062789115646257
12429,2102.857583897463,Loyal,9,4,38.66391752577319
12431,4910.303615216414,Champion,36,15,27.606170212765957
12432,2767.7017453714902,Champion,43,5,46.84555555555555
12433,8586.504376419403,Champion,1,7,31.847309523809525
12434,865.5865974365302,At Risk,85,2,16.122799999999998
12435,3654.973498268013,Champion,80,2,217.49694444444447
12437,4144.723412755179,Champion,2,18,24.88145728643216
12438,3383.245920858543,Champion,14,2,29.66173469387755
12444,4726.223822233473,Champion,21,5,28.44011363636364
12449,4445.9536734611,Champion,22,4,21.294712041884814
12450,677.812791668263,Lost,156,2,24.735
12451,5275.697876002673,Champion,11,5,25.524067796610172
12455,1102.8456448216411,At Risk,73,6,27.409555555555556
12456,2530.839260198074,Champion,44,3,25.44832
12457,2260.7915063146484,Loyal,66,7,38.11661290322581
12458,795.5097880619066,Lost,71,2,24.931578947368426
12461,868.5873584777139,At Risk,94,2,23.62514285714286
12462,695.8005851028856,Lost,19,2,19.186935483870965
12463,1472.0388753178977,Loyal,53,4,16.202168674698793
12464,1256.9837740298765,At Risk,10,8,41.79482758620689
12465,935.219357587432,At Risk,17,2,15.79127659574468
12468,731.3849174963278,Lost,188,2,19.19842105263158
12471,13704.932988734334,Champion,2,30,43.09576086956522
12472,3968.297595951491,Champion,32,7,19.386755162241887
12473,4446.341940088727,Champion,29,5,23.44375
12474,6301.161314973878,Champion,17,18,17.395731132075472
12476,5509.8487737118,Champion,16,11,29.255021459227468
12477,9740.000991246798,Champion,23,6,44.0658
12480,2249.9544878435363,Loyal,28,4,21.30928571428571
12481,4397.80208245247,Champion,23,10,25.7894930875576
