Customer ID,recency,frequency,monetary
12346,326,1,77183.6
12347,2,7,23.681318681318682
12348,75,4,57.97548387096774
12349,19,1,24.076027397260273
12350,310,1,19.670588235294115
12352,36,8,29.482823529411764
12353,204,1,22.25
12354,232,1,18.610344827586207
12355,214,1,35.33846153846154
12356,23,3,47.65135593220339
12357,33,1,47.38679389312977
12358,2,2,61.47684210526315
12359,58,4,25.695887096774193
12360,52,3,20.63612403100775
12361,287,1,18.990000000000002
12362,3,10,19.647481203007516
12363,110,2,24.0
12364,8,4,15.448235294117646
12365,291,2,29.153636363636362
12367,4,1,15.354545454545455
12370,51,4,21.231676646706585
12371,45,2,29.96761904761905
12372,72,3,24.962307692307693
12373,311,1,26.042857142857144
12374,25,1,22.513030303030305
12375,11,2,26.91176470588235
12377,315,2,21.144415584415583
12378,130,1,18.30420091324201
12379,82,2,21.306
12380,22,4,26.200096153846154
12381,5,5,21.21045977011494
12383,185,5,18.69252525252525
12384,29,2,21.676666666666666
12386,338,2,40.19
12388,16,6,27.8066
12390,80,1,17.1825
12391,22,1,4.6089
12393,72,4,24.728125000000002
12394,64,2,47.12888888888889
12395,19,12,19.350192307692307
12397,36,2,19.126190476190477
12398,46,1,19.24305882352941
12399,119,4,18.790677966101697
12401,303,1,16.86
12402,323,1,20.509090909090908
12403,50,1,85.53999999999999
12405,149,1,31.67388888888889
12406,22,2,32.52666666666667
12407,50,5,22.183376623376624
12408,33,5,27.51
12409,79,3,101.58412844036697
12410,309,2,26.666538461538458
12412,75,3,20.112786885245903
12413,67,3,19.95
12414,217,3,31.244999999999997
12415,24,21,174.95032212885152
12417,3,9,19.005729166666665
12418,113,1,19.664117647058823
12420,64,1,20.70310344827586
12421,16,4,17.93422222222222
12422,96,3,20.604102564102565
12423,1,8,14.87448
12424,163,2,58.69866666666667
12425,78,1,21.58888888888889
12426,195,1,19.424333333333333
12427,22,3,26.638709677419353
12428,26,9,27.062789115646257
12429,9,4,38.66391752577319
12430,43,1,23.30909090909091
12431,36,15,27.606170212765957
12432,43,5,46.845555555555556
12433,1,7,31.847309523809525
12434,85,2,16.122799999999998
12435,80,2,217.49694444444447
12436,100,1,31.813125
12437,2,18,24.88145728643216
12438,14,2,29.66173469387755
12441,367,1,15.77727272727273
12442,3,1,14.338333333333333
12444,21,5,28.440113636363638
